Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1.0,36.13670854,-44.86370142,0.0,1.0,86.0,Calm
1.0,36.24161763,-57.94768918,0.0,1.0,86.0,Calm
1.0,36.34579204,-61.17938853,0.0,1.0,86.0,Calm
1.0,36.45242229,-57.93787607,0.0,1.0,86.0,Calm
1.0,36.55807483,-61.91784592,0.0,1.0,86.0,Calm
1.0,36.662452,-57.1433769,0.0,1.0,86.0,Calm
1.0,36.76910592,-56.52392033,0.0,1.0,86.0,Calm
1.0,36.87257979,-48.04759712,0.0,1.0,86.0,Calm
1.0,36.97900317,-58.01806608,0.0,1.0,86.0,Calm
1.0,37.08560192,-62.96055351,0.0,1.0,86.0,Calm
1.0,37.1910665,-62.92868575,0.0,1.0,86.0,Calm
1.0,37.29463304,-61.33628354,0.0,1.0,86.0,Calm
1.0,37.40125146,-54.25181285,0.0,1.0,86.0,Calm
1.0,37.50781746,-61.7232257,0.0,1.0,86.0,Calm
1.0,37.61461225,-63.07343716,0.0,1.0,86.0,Calm
1.0,37.72025271,-59.87382809,0.0,1.0,86.0,Calm
1.0,37.82403838,-66.34828949,0.0,1.0,86.0,Calm
1.0,37.93071421,-61.511601,0.0,1.0,86.0,Calm
1.0,38.03684596,-62.94158316,0.0,1.0,86.0,Calm
1.0,38.14086617,-62.21619201,0.0,1.0,86.0,Calm
1.0,38.24756833,-52.56874102,0.0,1.0,86.0,Calm
1.0,38.35347867,-64.34979501,0.0,1.0,86.0,Calm
1.0,38.45757292,-65.3114055,0.0,1.0,86.0,Calm
1.0,38.56419413,-64.2404581,0.0,1.0,86.0,Calm
1.0,38.67027308,-63.82927306,0.0,1.0,86.0,Calm
1.0,38.77416504,-62.26390961,0.0,1.0,86.0,Calm
1.0,38.87893642,-58.62100864,0.0,1.0,86.0,Calm
1.0,38.985605,-60.3795677,0.0,1.0,86.0,Calm
1.0,39.09103842,-61.37533877,0.0,1.0,86.0,Calm
1.0,39.19763704,-52.60589868,0.0,1.0,86.0,Calm
1.0,39.30331688,-62.81159334,0.0,1.0,86.0,Calm
1.0,39.40774358,-61.49797738,0.0,1.0,86.0,Calm
1.0,39.514428,-53.35335671,0.0,1.0,86.0,Calm
1.0,39.6199515,-52.73468684,0.0,1.0,86.0,Calm
1.0,39.72477687,-58.33345218,0.0,1.0,86.0,Calm
1.0,39.83149442,-55.24713446,0.0,1.0,86.0,Calm
1.0,39.93717442,-61.18953321,0.0,1.0,86.0,Calm
1.0,40.04148258,-61.14535189,0.0,1.0,86.0,Calm
1.0,40.14813029,-56.22144196,0.0,1.0,86.0,Calm
1.0,40.25384529,-58.47933425,0.0,1.0,86.0,Calm
1.0,40.35828683,-63.22382276,0.0,1.0,86.0,Calm
1.0,40.46495958,-55.97646173,0.0,1.0,86.0,Calm
1.0,40.57058708,-61.92651174,0.0,1.0,86.0,Calm
1.0,40.67511425,-58.17240294,0.0,1.0,86.0,Calm
1.0,40.78178163,-49.51810414,0.0,1.0,86.0,Calm
1.0,40.88717933,-56.12332595,0.0,1.0,86.0,Calm
1.0,40.99203204,-66.42726968,0.0,1.0,86.0,Calm
1.0,41.09407383,-55.7950662,0.0,1.0,86.0,Calm
1.0,41.20078317,-64.68751759,0.0,1.0,86.0,Calm
1.0,41.30681654,-64.46469558,0.0,1.0,86.0,Calm
1.0,41.40883046,-54.53962285,0.0,1.0,86.0,Calm
1.0,41.51310754,-52.97726238,0.0,1.0,86.0,Calm
1.0,41.61979579,-50.38942541,0.0,1.0,86.0,Calm
1.0,41.72561017,-54.51103051,0.0,1.0,86.0,Calm
1.0,41.83220979,-35.73144417,0.0,1.0,86.0,Calm
1.0,41.93828283,-45.53805849,0.0,1.0,86.0,Calm
1.0,42.04241508,-53.89284304,0.0,1.0,86.0,Calm
1.0,42.14901475,-59.0853396,0.0,1.0,86.0,Calm
1.0,42.25505354,-45.75259873,0.0,1.0,86.0,Calm
1.0,42.3591945,-53.7267254,0.0,1.0,86.0,Calm
1.0,42.46594525,-63.02699404,0.0,1.0,86.0,Calm
1.0,42.57256663,-63.06385088,0.0,1.0,86.0,Calm
1.0,42.67610663,-63.01915576,0.0,1.0,86.0,Calm
1.0,42.77936246,-60.75020532,0.0,1.0,86.0,Calm
1.0,42.88611046,-55.57036603,0.0,1.0,86.0,Calm
1.0,42.99103438,-56.6924261,0.0,1.0,86.0,Calm
1.0,43.09683042,-61.01734841,0.0,1.0,86.0,Calm
1.0,43.19879192,-64.31972464,0.0,1.0,86.0,Calm
1.0,43.30549954,-61.26467848,0.0,1.0,86.0,Calm
1.0,43.40975938,-58.99171722,0.0,1.0,86.0,Calm
1.0,43.51388521,-51.30660602,0.0,1.0,86.0,Calm
1.0,43.62055033,-61.76390641,0.0,1.0,86.0,Calm
1.0,43.72650871,-64.61481841,0.0,1.0,86.0,Calm
1.0,43.8304675,-60.68071341,0.0,1.0,86.0,Calm
1.0,43.93709792,-61.13898331,0.0,1.0,86.0,Calm
1.0,44.04327504,-61.81364745,0.0,1.0,86.0,Calm
