Label,Time (s),Sound pressure level (dB),Music ,Win,Heart rate(bpm),Emotional state
1,38.5641941300 ,-64.2404581000 ,0,1,86,Calm
1,38.6702730800 ,-63.8292730600 ,0,1,86,Calm
1,38.7741650400 ,-62.2639096100 ,0,1,86,Calm
1,38.8789364200 ,-58.6210086400 ,0,1,86,Calm
1,38.9856050000 ,-60.3795677000 ,0,1,86,Calm
1,39.0910384200 ,-61.3753387700 ,0,1,86,Calm
1,39.1976370400 ,-52.6058986800 ,0,1,86,Calm
1,39.3033168800 ,-62.8115933400 ,0,1,86,Calm
1,39.4077435800 ,-61.4979773800 ,0,1,86,Calm
1,39.5144280000 ,-53.3533567100 ,0,1,86,Calm
1,39.6199515000 ,-52.7346868400 ,0,1,86,Calm
1,39.7247768700 ,-58.3334521800 ,0,1,86,Calm
1,39.8314944200 ,-55.2471344600 ,0,1,86,Calm
1,39.9371744200 ,-61.1895332100 ,0,1,86,Calm
1,40.0414825800 ,-61.1453518900 ,0,1,86,Calm
1,40.1481302900 ,-56.2214419600 ,0,1,86,Calm
1,40.2538452900 ,-58.4793342500 ,0,1,86,Calm
1,40.3582868300 ,-63.2238227600 ,0,1,86,Calm
1,40.4649595800 ,-55.9764617300 ,0,1,86,Calm
1,40.5705870800 ,-61.9265117400 ,0,1,86,Calm
1,40.6751142500 ,-58.1724029400 ,0,1,86,Calm
1,40.7817816300 ,-49.5181041400 ,0,1,86,Calm
1,40.8871793300 ,-56.1233259500 ,0,1,86,Calm
1,40.9920320400 ,-66.4272696800 ,0,1,86,Calm
1,41.0940738300 ,-55.7950662000 ,0,1,86,Calm
1,41.2007831700 ,-64.6875175900 ,0,1,86,Calm
1,41.3068165400 ,-64.4646955800 ,0,1,86,Calm
1,41.4088304600 ,-54.5396228500 ,0,1,86,Calm
1,41.5131075400 ,-52.9772623800 ,0,1,86,Calm
1,41.6197957900 ,-50.3894254100 ,0,1,86,Calm
1,41.7256101700 ,-54.5110305100 ,0,1,86,Calm
1,41.8322097900 ,-35.7314441700 ,0,1,86,Calm
1,41.9382828300 ,-45.5380584900 ,0,1,86,Calm
1,42.0424150800 ,-53.8928430400 ,0,1,86,Calm
1,42.1490147500 ,-59.0853396000 ,0,1,86,Calm
1,42.2550535400 ,-45.7525987300 ,0,1,86,Calm
1,42.3591945000 ,-53.7267254000 ,0,1,86,Calm
1,42.4659452500 ,-63.0269940400 ,0,1,86,Calm
1,42.5725666300 ,-63.0638508800 ,0,1,86,Calm
1,42.6761066300 ,-63.0191557600 ,0,1,86,Calm
1,42.7793624600 ,-60.7502053200 ,0,1,86,Calm
1,42.8861104600 ,-55.5703660300 ,0,1,86,Calm
1,42.9910343800 ,-56.6924261000 ,0,1,86,Calm
1,43.0968304200 ,-61.0173484100 ,0,1,86,Calm
1,43.1987919200 ,-64.3197246400 ,0,1,86,Calm
1,43.3054995400 ,-61.2646784800 ,0,1,86,Calm
1,43.4097593800 ,-58.9917172200 ,0,1,86,Calm
1,43.5138852100 ,-51.3066060200 ,0,1,86,Calm
1,43.6205503300 ,-61.7639064100 ,0,1,86,Calm
1,43.7265087100 ,-64.6148184100 ,0,1,86,Calm
1,43.8304675000 ,-60.6807134100 ,0,1,86,Calm
1,43.9370979200 ,-61.1389833100 ,0,1,86,Calm
1,44.0432750400 ,-61.8136474500 ,0,1,86,Calm
1,44.1471227900 ,-40.7720956300 ,0,1,86,Calm
1,44.2536492900 ,-45.5107628800 ,0,1,86,Calm
1,44.3600062500 ,-49.3678571500 ,0,1,86,Calm
1,44.4638009600 ,-46.3058747300 ,0,1,86,Calm
1,44.5704559200 ,-56.1864194600 ,0,1,86,Calm
1,44.6766912500 ,-61.6650973300 ,0,1,86,Calm
1,44.7805234200 ,-64.0362953100 ,0,1,86,Calm
1,44.8870832100 ,-64.9646139400 ,0,1,86,Calm
1,44.9934996700 ,-55.8756140100 ,0,1,86,Calm
1,45.0972052900 ,-45.9805207200 ,0,1,86,Calm
1,45.2039050000 ,-39.8595728800 ,0,1,86,Calm
1,45.3101901300 ,-51.2236254700 ,0,1,86,Calm
1,45.4138160400 ,-63.4360342100 ,0,1,86,Calm
1,45.5204903300 ,-37.6890562500 ,0,1,86,Calm
1,45.6267557100 ,-55.9801723400 ,0,1,86,Calm
1,45.7304925400 ,-55.9332703100 ,0,1,86,Calm
1,45.8329755400 ,-60.5717558500 ,0,1,86,Calm
1,45.9389603800 ,-60.8614942000 ,0,1,86,Calm
1,46.0428768300 ,-58.5992984200 ,0,1,86,Calm
1,46.1471310000 ,-51.2733190900 ,0,1,86,Calm
1,46.2537341700 ,-53.5618492100 ,0,1,86,Calm
1,46.3592830400 ,-53.9015269800 ,0,1,86,Calm
1,46.4637913800 ,-63.2328900100 ,0,1,86,Calm
1,46.5703843800 ,-48.4703872500 ,0,1,86,Calm
1,46.6756026700 ,-58.4331022100 ,0,1,86,Calm
1,46.7801046300 ,-49.9465479600 ,0,1,86,Calm
1,46.8867304600 ,-52.8072014200 ,0,1,86,Calm
